method,alpha_s,alpha_a,success_rate,mean_reward,n_rollouts,latency_ms
BASE-clean,0.000,0.000,1.0000,1.0000,25,
BASE-noisy,0.010,0.050,0.9200,0.9200,25,
JOINT-A0,0.010,0.050,0.4000,0.4000,25,13.93
BASE-noisy,0.010,0.100,0.7200,0.7200,25,
JOINT-A0,0.010,0.100,0.4800,0.4800,25,14.12
BASE-noisy,0.010,0.200,0.4800,0.4800,25,
JOINT-A0,0.010,0.200,0.5600,0.5600,25,13.85
BASE-noisy,0.050,0.050,0.0000,0.0000,25,
JOINT-A0,0.050,0.050,0.0800,0.0800,25,13.99
BASE-noisy,0.050,0.100,0.0000,0.0000,25,
JOINT-A0,0.050,0.100,0.0800,0.0800,25,14.01
BASE-noisy,0.050,0.200,0.0800,0.0800,25,
JOINT-A0,0.050,0.200,0.0800,0.0800,25,14.02
